ADVERTISER_NAME,advertiser_industry,SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile
Circus Daily - Belgium,entertainment,rp,odelices.ouest-france.fr,,Mobile,Web,VIDEO,1300x1280,BE,10892,152,210,0.7238,4,0.04,42.187571,3.873,277.55,10.547,9326,0.8562000000000001,0.014,0.0193,277.5498,0.5103,0.0002,0.3715,high,IAB1,,entertainment,"mass_reach,young_adults"
BR Pepsico Gatorade,food,adxbr,moovitapp.com,,Mobile,Web,DISPLAY,320x50,BR,10859,9066,10313,0.8791,9,0.08,12.490107,1.15,1.378,1.388,0,0.0,0.8349,0.9497,1.3777,0.9144,0.0323,0.9144,low,IAB8,,other,"mass_reach,parents"
BNP Paribas,banking,openx,web-mail.laposte.net,,Desktop,Web,DISPLAY,160x600,FR,10829,9065,10341,0.8765999999999999,6,0.06,3.553508,0.328,0.392,0.592,0,0.0,0.8371,0.9549,0.392,0.9157,0.1136,0.9157,low,IAB13,,finance,"professionals,high_income"
mtl_emea_pl_ip_fp_multi,other,rp,wiadomosci.wp.pl,,Desktop,Web,DISPLAY,300x600,PL,10667,9598,10588,0.9065,15,0.14,13.062375,1.225,1.361,0.871,0,0.0,0.8998,0.9926,1.3609,0.9496,0.0327,0.9496,low,IAB0,,other,mass_reach
Danone Alpro,food,appnexus,www.sport.pl,,Mobile,Web,DISPLAY,336x280,PL,10665,8602,10498,0.8194,49,0.46,28.965269,2.716,3.367,0.591,0,0.0,0.8066,0.9843,3.3673,0.9019,0.0132,0.9019,low,IAB8,,other,"mass_reach,parents"
BR Stellantis Jeep Compass,automotive,adxbr,www.bandab.com.br,,Mobile,Web,DISPLAY,320x50,BR,10632,9542,10402,0.9173,48,0.45,7.7482,0.729,0.812,0.161,0,0.0,0.8975,0.9784,0.812,0.9479,0.0549,0.9479,low,IAB2,,automotive,"mass_reach,professionals"
Sky Showtime,entertainment,adx,evz.ro,,Mobile,Web,DISPLAY,300x250,RO,10535,6468,10324,0.6265,28,0.27,7.519277,0.714,1.163,0.269,0,0.0,0.614,0.98,1.1625,0.8033,0.0383,0.8033,low,IAB1,,entertainment,"mass_reach,young_adults"
Circus Daily - Belgium,entertainment,pubmatic,actu.geo.fr,,Desktop,Web,VIDEO,1300x1280,BE,10386,6034,9258,0.6518,1,0.01,88.789159,8.549,14.715,88.789,8941,0.8609,0.581,0.8914,14.7148,0.7879,0.003,0.7716,low,IAB1,,entertainment,"mass_reach,young_adults"
RETIF,other,outbrain,meteofrance.com,,Mobile,Web,DISPLAY,336x280,FR,10371,1583,10176,0.1556,9,0.09,15.455169,1.49,9.763,1.717,0,0.0,0.1526,0.9812,9.7632,0.5684,0.0046,0.3684,high,IAB0,,other,mass_reach
Calabria,food,index,www.ansa.it,,Desktop,Web,DISPLAY,728x90,IT,10281,3440,10152,0.3388,1,0.01,3.561266,0.346,1.035,3.561,0,0.0,0.3346,0.9875,1.0353,0.6632,0.043,0.4632,medium,IAB8,,other,"mass_reach,parents"
